track,short,plays,track_unique_days,log_dur_min,track_score
Lost: The Dance In Sand And Sea/The Dance In The Frost - 2005 Digital Remaster,Lost: The Dance In Sand And Sea/The Dance In The Frost,1,1,2.4176979000945504,9.54
ManErg - Sounds Of The 70s Session / 1971,ManErg,1,1,2.412335956953165,9.53
Traccia II,Traccia II,2,2,0.9745596399981308,9.44
Whip It,Whip It,2,2,0.9707789171582248,9.43
"A Love Supreme, Pt. III - Pursuance","A Love Supreme, Pt. III",1,1,2.3711778844596574,9.43
Pet Sounds,Pet Sounds,2,2,0.9669838461896731,9.42
Feng Shui,Feng Shui,1,1,2.342766882626877,9.36
Lonnie's Lament - Live In Berlin / 1963,Lonnie's Lament,1,1,2.3282528397426234,9.32
Confusion - Pump Panel Reconstruction Mix,Confusion,1,1,2.322387720290225,9.31
"And You and I: i. Cord of Life, ii. Eclipse, iii. The Preacher the Teacher, iv. Apocalypse - 2025 Remaster","And You and I: i. Cord of Life, ii. Eclipse, iii. The Preacher the Teacher, iv. Apocalypse",1,1,2.3233676321765744,9.31
The Holy Drinker,The Holy Drinker,1,1,2.325324579963535,9.31
Suoni Primordiali,Suoni Primordiali,1,1,2.3204250111223765,9.3
White Rabbit,White Rabbit,2,2,0.9202827531436923,9.3
A Place To Survive,A Place To Survive,1,1,2.309560706730471,9.27
Boris The Spider,Boris The Spider,2,2,0.9001613499442714,9.25
La Conquista Della Posizione Eretta,La Conquista Della Posizione Eretta,1,1,2.301584592660462,9.25
The Butterfly - Remastered,The Butterfly,2,2,0.8960880245566357,9.24
Canary In A Coalmine,Canary In A Coalmine,2,2,0.8919980393051105,9.23
Forse Le Lucciole Non Si Amano Più - Remastered 2021,Forse Le Lucciole Non Si Amano Più,1,1,2.288486168614544,9.22
"Scorched Earth - Live, 2005 Leverkusen",Scorched Earth,1,1,2.2679936482244267,9.17
Giant,Giant,1,1,2.259677591982769,9.15
Firth of Fifth - 2007 Stereo Mix,Firth of Fifth,1,1,2.253394848803274,9.13
Sound Chaser - 2003 Remaster,Sound Chaser,1,1,2.2438960966453663,9.11
Blackbird - Remastered 2009,Blackbird,2,2,0.8372475245337022,9.09
The Vanilla Queen,The Vanilla Queen,1,1,2.226783379577764,9.07
Eruption - Live,Eruption,1,1,2.226783379577764,9.07
True Faith - Shep Pettibone Remix,True Faith,1,1,2.201659174404085,9.0
True Faith - The Morning Sun Extended Remix,True Faith,1,1,2.199444334074532,9.0
In the Light - Remaster,In the Light,1,1,2.174751721484161,8.94
La conquista della posizione eretta,La conquista della posizione eretta,1,1,2.1644717908644115,8.91
In the Stable of the Sphinx,In the Stable of the Sphinx,1,1,2.1412419425852827,8.85
New Potato Caboose,New Potato Caboose,1,1,2.131796772013764,8.83
Blue Camel,Blue Camel,1,1,2.124653884501384,8.81
Sahara,Sahara,1,1,2.1174596088673567,8.79
And Your Bird Can Sing - Remastered 2009,And Your Bird Can Sing,2,2,0.6981347220709843,8.75
Main Sequence,Main Sequence,1,1,2.0992441689760155,8.75
Naima - Live In Stockholm / 1963,Naima,1,1,2.0906287310704004,8.73
Le pas du chat noir,Le pas du chat noir,1,1,2.0831845279586703,8.71
Pictures Of A City,Pictures Of A City,1,1,2.081938421878423,8.7
Policy of Truth - Capitol Mix,Policy of Truth,1,1,2.079441541679836,8.7
In The Wake Of Poseidon,In The Wake Of Poseidon,1,1,2.0731719286662407,8.68
La Corrente Delle Stelle,La Corrente Delle Stelle,1,1,2.069391205826334,8.67
Catfish Blues,Catfish Blues,1,1,2.052840859882657,8.63
"A Love Supreme, Pt. I – Acknowledgement","A Love Supreme, Pt. I – Acknowledgement",1,1,2.0425181875752383,8.61
Drive Home,Drive Home,1,1,2.030776369698555,8.58
"Every Bloody Emperor - Live, 2005 Leverkusen",Every Bloody Emperor,1,1,2.028148247292285,8.57
Shout! - Rio Mix,Shout!,1,1,2.0241930674493576,8.56
Sleepless (Tony Levin Mix),Sleepless (Tony Levin Mix),1,1,2.012232791986386,8.53
