artist,track,track_score
The Rolling Stones,The Under Assistant West Coast Promotion Man - Edit / Mono,4.63
Focus,Janis - Remastered,4.63
Franco Battiato,L'animale,4.62
Dhafer Youssef,Rose Fragrance,4.62
Franco Battiato,Un'Altra Vita - Live 1988 / Remastered 2020,4.58
The Beatles,Penny Lane,4.58
Charlie Parker,Ornithology,4.58
The Kinks,Animal Farm - 2018 Stereo Remaster,4.58
Van Der Graaf Generator,Theme 1,4.58
Talking Heads,Love → Building on Fire - 2004 Remaster,4.57
Franco Battiato,Cuccurucucù - Live 1988 / Remastered 2020,4.57
The Durutti Column,Sketch for Summer,4.57
Creedence Clearwater Revival,Cotton Fields,4.55
Pixies,Monkey Gone to Heaven,4.55
Van Der Graaf Generator,Theme One - Remastered 2021,4.55
The Beatles,Savoy Truffle - Remastered 2009,4.54
Victor Jara,Canción Al Árbol Del Olvido,4.53
The Rolling Stones,You Got The Silver,4.53
Fleetwood Mac,Dragonfly,4.5
Pearl Jam,Animal,4.5
Jimmy Giuffre,The Bird - Remastered,4.48
Traffic,Here We Go Round The Mulberry Bush - Stereo Version,4.46
Los Lobos,La Feria De La Flores,4.45
Banco Del Mutuo Soccorso,Traccia II,4.45
Yes,The Fish (Schindleria Praematurus) - 2024 Remaster,4.45
Yes,Montreux's Theme - 2003 Remaster,4.41
Neil Young,Birds,4.41
Jefferson Airplane,White Rabbit,4.39
Yes,Amazing Grace - 2003 Remaster,4.39
NEU!,Elanoizan,4.39
Fleetwood Mac,"The Farmer's Daughter - Live 1980, Santa Monica, CA",4.38
Franco Battiato,"Amore Che Vieni, Amore Che Val",4.36
Franco Battiato,Prologo,4.36
The Who,Boris The Spider,4.36
Yes,Total Mass Retain - Remix,4.33
The Rolling Stones,The Singer Not The Song - Mono Version,4.33
The Rolling Stones,Route 66,4.31
Los Lobos,El Cuchipe,4.3
The Trashmen,Surfin' Bird,4.29
Grateful Dead,The Golden Road - 2013 Remaster,4.25
Frank Zappa,The Duke Of Prunes,4.25
The Beach Boys,Vegetables - Remastered 2001,4.22
The Rolling Stones,Connection,4.21
The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered 2009,4.18
Triana,Todo es de color,4.18
The Beatles,Piggies - Remastered 2009,4.18
Grateful Dead,Rosemary - 2013 Remaster,4.15
King Crimson,Peace - An End,4.12
NEU!,KD,4.11
The Dandy Warhols,The Dandy Warhols Love Almost Everyone,4.11
Strawberry Alarm Clock,Birds In My Tree,4.09
Red Hot Chili Peppers,Pea,4.04
NEU!,November,4.0
Van Der Graaf Generator,Ponker's Theme - Remastered 2021,3.85
King Crimson,Inner Garden II,3.73
King Crimson,Peace - A Theme,3.71
NEU!,Vier ½,3.55
Aphrodite's Child,The Battle Of The Locusts,3.49
King Crimson,Peace - A Beginning,3.42
NEU!,Intro,3.17
