track_id,album_id,artist_id,track,artist,album_name,played_at
3RpQJrHPISBYkIYaoL4leS,4ttC4XUinZXn3GMIQNrjFZ,7M1FPw29m5FbicYzS2xdpi,Lament,King Crimson,Starless And Bible Black,2026-05-03T06:42:09
04c3ZTgTH5ci7LuNSx7Wje,20dTbQRkxuOTkf3SFyaT2m,7M1FPw29m5FbicYzS2xdpi,Thela Hun Ginjeet,King Crimson,Discipline,2026-05-03T06:37:39
6yhGgwT0IxUt5yG19GDKn0,4tPuH2J8xL4JU91QFTWDUJ,0sihhSAp2JQBQ2oqapkVxV,In Principio,Logos,L'enigma Della Vita,2026-05-03T06:31:09
6yhGgwT0IxUt5yG19GDKn0,4tPuH2J8xL4JU91QFTWDUJ,0sihhSAp2JQBQ2oqapkVxV,In Principio,Logos,L'enigma Della Vita,2026-05-03T06:29:39
4PCwwYtVKob3Xhe4mQ6TFl,6NiJ8vCXUZoeqUIyhUDNZX,45Utoxop3UFq0Qg9YFLhx0,La Porta Chiusa,Le Orme,Uomo Di Pezza,2026-05-03T06:12:37
6mCjrBuLeqdZzvowLBQeJp,59GiU04zZYyxM3HQrunKlF,7K2LDhsZ8A4LKlLPPpcKFS,In the Stable of the Sphinx,East Of Eden,Mercator Projected,2026-05-03T06:05:07
3nhQ0t5o70uHAzEgYDedX2,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Man-Erg - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-03T05:56:07
0O9dtCsMTsVIo0tF8AVJQ5,3nkLkuSpD5bMzG1ibkJw5N,4RuYtHjAKBufQRqBUMiOfK,La discesa dal treno,Banco Del Mutuo Soccorso,Transiberiana (Bonus Tracks Version),2026-05-03T05:46:07
6rbLGESJIt0IdCWcrXtrFK,1Apj3GZ0D7l94CFA5qInjr,4RuYtHjAKBufQRqBUMiOfK,L'Evoluzione,Banco Del Mutuo Soccorso,Darwin (1991 Edition),2026-05-03T05:39:41
6eUnY12Nd9TVWlbBnFQRCw,6wI2sLcBmYzYQd9LFfkbhy,2CqEOngQOOMstJupNn6Hmf,Hallogallo,NEU!,NEU!,2026-05-03T05:22:37
702IsRAE5re0e7eBwf0LXl,1NeJ0QqKv002iYDiOCaUOA,1MD5pgVzlusqGyuSTcTxvu,Geranio,Premiata Forneria Marconi,Per Un Amico,2026-05-03T05:12:38
26oHuX40kl6CbJOE2fYzp2,5KlxVQrxfXom4ttbE6trkc,3UtSTTCQ0EMUQxmsfZ3Px1,Vivaldi,Curved Air,Air Conditioning,2026-05-03T00:45:57
7JYDQK92DhsXpynZ2kkXfs,36EzzM52hSYnWYwsdrWPGG,6o2PxnpsrQ352kwYlEwjvR,La Mela Di Odessa,Area,Crac!,2026-05-03T00:37:57
54VkF8s3BevKAX0JSwuf0O,30OBaYcCeQ71rdVWSpbTgC,7B9i94mmRUGH35kAyuUEDD,Starship Trooper/ Wurm,"Anderson, Squire, Howe",Tales Of Future And Past,2026-05-03T00:33:28
3RsiyFNrYlv16OWY1BHMmx,51pz4wvc0BPtjnGCWjxX91,1MD5pgVzlusqGyuSTcTxvu,Dove... quando... - II Parte,Premiata Forneria Marconi,Storia Di Un Minuto,2026-05-03T00:28:27
6eUnY12Nd9TVWlbBnFQRCw,6wI2sLcBmYzYQd9LFfkbhy,2CqEOngQOOMstJupNn6Hmf,Hallogallo,NEU!,NEU!,2026-05-03T00:22:27
131RAB9EVFAq5k38sLk1LG,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,La Bomba (Stop Apartheid World-Wide),NEU!,NEU!,2026-05-03T00:11:33
47sJPdCkjVfLJWBFhwJiuE,20dTbQRkxuOTkf3SFyaT2m,7M1FPw29m5FbicYzS2xdpi,The Sheltering Sky,King Crimson,Discipline,2026-05-04T05:01:11
6PnG9i1lpihdIBHHFg0M6Y,6RjHOFz283XfJ7o7RwqaIT,5U16QlMnlSAhkQxBZpLyLO,Mr Evasion,The Pretty Things,S.F. Sorrow,2026-05-04T04:52:41
0lUBWPZWiGQEKNzayTCpxT,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Sequenze E Frequenze - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-04T04:49:11
7FCYhTAkaNIqO2NWAi2J2a,7cLNFRklt2EupipdILxJc7,7nQZVqkaUxa3A62UJSisSB,Libero pensatore,La coscienza di Zeno,La notte anche di giorno,2026-05-04T04:42:11
26oHuX40kl6CbJOE2fYzp2,5KlxVQrxfXom4ttbE6trkc,3UtSTTCQ0EMUQxmsfZ3Px1,Vivaldi,Curved Air,Air Conditioning,2026-05-04T04:37:11
75gb1H0F5IumlnwhjnB08B,2JyNDhGhp0hiizSPuUs0i9,67ea9eGLXYMsO2eYQRui3w,Rael - Pt.1 & Pt.2,The Who,The Who Sell Out (Super Deluxe),2026-05-04T04:29:41
7JYDQK92DhsXpynZ2kkXfs,36EzzM52hSYnWYwsdrWPGG,6o2PxnpsrQ352kwYlEwjvR,La Mela Di Odessa,Area,Crac!,2026-05-04T04:23:41
3RpQJrHPISBYkIYaoL4leS,4ttC4XUinZXn3GMIQNrjFZ,7M1FPw29m5FbicYzS2xdpi,Lament,King Crimson,Starless And Bible Black,2026-05-04T04:17:11
4UhB17vQsTP0qM9grc4ZUi,6wDCNTOXnKI8E4WrsdeJH9,1CD77o9fbdyQFrHnUPUEsF,Empty Pages - Remastered 2010,Traffic,John Barleycorn Must Die Deluxe Edition,2026-05-04T04:13:11
1d6WoMWzq2YTfGxUP94Rgy,6vUUBFECAo0oLUWfjqmXtZ,1MD5pgVzlusqGyuSTcTxvu,Bandiera Bianca,Premiata Forneria Marconi,Live In Japan 2002,2026-05-04T04:08:41
7m6T2wUj2CWjKkMbv42ZEo,2bG4ZJ2X6pUwOqPgk7Mgrg,1SQRv42e4PjEYfPhS0Tk9E,Shangri-La (2019 Remaster),The Kinks,Arthur or the Decline and Fall of the British Empire (Deluxe),2026-05-04T04:04:41
54VkF8s3BevKAX0JSwuf0O,30OBaYcCeQ71rdVWSpbTgC,7B9i94mmRUGH35kAyuUEDD,Starship Trooper/ Wurm,"Anderson, Squire, Howe",Tales Of Future And Past,2026-05-04T03:59:11
0O9dtCsMTsVIo0tF8AVJQ5,3nkLkuSpD5bMzG1ibkJw5N,4RuYtHjAKBufQRqBUMiOfK,La discesa dal treno,Banco Del Mutuo Soccorso,Transiberiana (Bonus Tracks Version),2026-05-04T03:46:41
