track_id,track,plays,track_unique_days,log_dur_min,track_score
3vNuiCB9OirYFeO79MNQqZ,Get Off,2,2,1.1568811967920856,6.39
1C7gBAgpedexfZgGFw0XoB,Sound Chaser,2,2,1.1505720275988207,6.38
5pLqf7TEvDr4QvOeLPUBQU,Cara Sin Cruz,2,2,1.1474024528375417,6.38
4u6tu5K2M4DvEdZXDGfzzd,Theme One,2,2,1.1537315878891892,6.38
1yPjS57IDVSVio6zW45wM7,Solid,2,2,1.144222799920162,6.37
3kp9Ji3GSt62461FZ2gTLj,L'animale,2,2,1.1314021114911006,6.36
2HCfUhbElYaqBczZqDLxch,Un'Altra Vita,2,2,1.1019400787607843,6.32
4TWGFI2skLKipAwLBsgKSd,Cuccurucucù,2,2,1.091923300517313,6.31
0gqAQYhKyk3nXUUqzc1WLN,Lizard (Prince Rupert Awakes/Bolero/The Battle of Glass Tears/Big Top),1,1,3.1497400860333387,6.28
5zADxJhJEzuOstzcUtXlXv,Supper's Ready,1,1,3.139832617527748,6.27
0Pqy7Cs5C7dgJFMIeq5EYy,Medley: A Plague Of Lighthouse Keepers,1,1,3.1402654242862895,6.27
5yTntxdC2qDhJEVEZHMZC2,Animal,2,2,1.0260415958332743,6.23
176RyR4Ac2kU0bEI4uycWs,Traccia II,2,2,0.9745596399981308,6.17
1RDva71oSm8zSnRLMQm6Gx,Pet Sounds,2,2,0.9669838461896731,6.16
4vpeKl0vMGdAXpZiQB2Dtd,White Rabbit,2,2,0.9202827531436925,6.1
4u2dUchYraxM1SFBHuE32o,Boris The Spider,2,2,0.9001613499442714,6.08
1ZSOcFF4PfERJPqGHewDnt,The Butterfly,2,2,0.8960880245566357,6.08
5FlKCxeXdDgWMWpzsO8iwU,Blue Monday,2,1,2.150598735996164,6.08
5LP10C87Y5YnToBtwsxojk,Moon In June,1,1,2.9507349076232554,6.04
1WBo4U3SnPN49I5lOESmYk,"Close to the Edge: i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man",1,1,2.929592471049446,6.02
5jgFfDIR6FR0gvlA56Nakr,Blackbird,2,2,0.8372475245337022,6.0
1650LUcd7pCPN6oLjUs3s7,Ricochet (Part One),1,1,2.830857630363757,5.9
60rik7L8PK2MgBuy3yn9xX,Lemmings,1,1,2.8154087194227095,5.88
4KRgqwb4kvBuTz1utbYxfb,And Your Bird Can Sing,2,2,0.6981347220709843,5.84
5aq792lBi0ANVk99WsfxTx,Canto nomade per un prigioniero politico,1,1,2.7587433154177283,5.81
4qVjaG8Z0Mh4yRUuEUknty,Squid/Octopus,1,1,2.7350166493320245,5.78
2cTfzU2iNMI9aZSPOL3mYx,Larks' Tongues In Aspic (Part I),1,1,2.6093342281630525,5.63
3JLItZsgZGc5hdgocrHu0y,A Louse Is Not A Home,1,1,2.5494451709255714,5.56
