track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,dt,day,hour,month,hlp,duration_min,track_short,time_of_day
7bBPlEQxfD3t9OQWVdx71R,1UQRYIgVBO9izI17mpoYOX,0f3kLT4wvi2mFHlHJgV8Hl,White Feathers - Manhattan Clique Remix Edit,Kajagoogoo,The Complete Albums,2026-06-15T19:33:22,231036,2026-06-15,15,19,6,1,3.85,White Feathers,abends
1Vs1DY9FVZYabcYLBoq74A,3ka6eg73IDCDYhhrlZHpUb,1G1mX30GpUJqOr1QU2eBSs,Goodbye 70's,Yazoo,Upstairs at Eric’s,2026-06-15T19:29:18,154293,2026-06-15,15,19,6,1,2.57,Goodbye 70's,abends
2xq9cLlOPyLoi8kLlR4miz,4JLLAw7R40SnvwkUt9B63N,1n65zfwYIj5kKEtNgxUlWb,Cities In Dust,Siouxsie and the Banshees,Tinderbox,2026-06-15T19:26:19,231573,2026-06-15,15,19,6,1,3.86,Cities In Dust,abends
5QIbR39hAEDIOkr4ggh4xc,4gbZS6jj6ufbiSG4C8jLv5,4tpUmLEVLCGFr93o8hFFIB,Atomic,Blondie,Eat To The Beat,2026-06-15T19:22:27,280324,2026-06-15,15,19,6,1,4.67,Atomic,abends
74Uqkbk1n8habsrrJxHseS,5xFlkqLDx3wbgqtvrez1n0,5KQMtyPE8DCQNUzoNqlEsE,Random,Gary Numan,The Pleasure Principle,2026-06-15T19:17:46,229840,2026-06-15,15,19,6,1,3.83,Random,abends
1bVYSVOMiFR6GzOUm7WDi2,15BhyErNMCS96rXaeAkMre,3iUjRVvYCsMfz7tuAQtBDI,White China - 2009 Remaster,Ultravox,Lament (2009 Remaster),2026-06-15T19:13:56,233346,2026-06-15,15,19,6,1,3.89,White China,abends
0VktLUEpFVQ7Zl5c80uKHH,2wWcTC2GHLEGLDlsnr5aYM,5KQMtyPE8DCQNUzoNqlEsE,Are 'Friends' Electric?,Gary Numan,Replicas Redux,2026-06-15T19:10:02,325200,2026-06-15,15,19,6,1,5.42,Are 'Friends' Electric?,abends
2NTSEhMDPZbrIVkUpZjA4J,78BeLVh1ko9oOELJCEJ0o6,1BGN1IdyiSR0ZYrkoKNchl,Rain Forest,Tangerine Dream,Sorcerer,2026-06-15T19:04:37,155853,2026-06-15,15,19,6,1,2.6,Rain Forest,abends
1z7g7RC4ChtatFf7el5G9N,78BeLVh1ko9oOELJCEJ0o6,1BGN1IdyiSR0ZYrkoKNchl,Grind,Tangerine Dream,Sorcerer,2026-06-15T19:02:01,169973,2026-06-15,15,19,6,1,2.83,Grind,abends
5cI9UisxfdWrTMeOhRbFZj,78BeLVh1ko9oOELJCEJ0o6,1BGN1IdyiSR0ZYrkoKNchl,The Journey,Tangerine Dream,Sorcerer,2026-06-15T18:59:11,118293,2026-06-15,15,18,6,1,1.97,The Journey,abends
